Name of University,Name of University_lbEncode,Location,Location_lbEncode
AGH University of Krakow,0,Poland,69
University of Aveiro,1140,Portugal,70
University of Arkansas,1138,United States,94
University of Arizona,1137,United States,94
University of Applied Sciences and Arts of Western Switzerland,1136,Switzerland,84
University of Antwerp,1135,Belgium,6
University of Antofagasta,1134,Chile,12
University of Antioquia,1133,Colombia,14
University of Anbar,1132,Iraq,38
University of Amsterdam,1131,Netherlands,60
University of Almería,1130,Spain,81
University of Alicante,1129,Spain,81
University of Algarve,1128,Portugal,70
University of Alcalá,1127,Spain,81
University of Alberta,1126,Canada,11
University of Alaska Fairbanks,1125,United States,94
"University of Agriculture, Faisalabad",1124,Pakistan,66
University of Adelaide,1123,Unknown Location,95
University of Abou Bekr Belkaïd Tlemcen,1122,Algeria,0
University of Aberdeen,1121,United Kingdom,93
University of A Coruña,1120,Spain,81
University at Buffalo,1119,United States,94
University Rey Juan Carlos,1118,Spain,81
University Mohamed Boudiaf of M’Sila,1117,Algeria,0
University College Dublin,1116,Ireland,39
University of Auckland,1139,New Zealand,61
University of Babylon,1141,Iraq,38
Sciences Po,849,France,27
University of Baghdad,1142,Iraq,38
University of Bremen,1165,Germany,29
University of Brawijaya,1164,Indonesia,36
University of Brasília,1163,Brazil,8
University of Bradford,1162,United Kingdom,93
University of Botswana,1161,Botswana,7
University of Bordeaux,1160,Unknown Location,95
University of Bonn,1159,Germany,29
University of Bologna,1158,Unknown Location,95
University of Biskra,1157,Algeria,0
University of Birmingham,1156,United Kingdom,93
University of Bern,1155,Switzerland,84
University of Bergen,1154,Norway,64
University of Bergamo,1153,Italy,41
University of Benin,1152,Nigeria,62
University of Belgrade,1151,Serbia,75
University of Beira Interior,1150,Portugal,70
University of Bedfordshire,1149,United Kingdom,93
University of Bayreuth,1148,Germany,29
University of Bath,1147,United Kingdom,93
University of Basrah,1146,Iraq,38
University of Basel,1145,Switzerland,84
University of Bari Aldo Moro,1144,Italy,41
University of Barcelona,1143,Spain,81
University College Cork,1115,Ireland,39
Universiti Utara Malaysia,1114,Malaysia,51
Universiti Tunku Abdul Rahman (UTAR),1113,Malaysia,51
Universiti Tun Hussein Onn Malaysia (UTHM),1112,Malaysia,51
Universidade do Estado do Rio de Janeiro (UERJ),1085,Brazil,8
Universidade do Estado de Santa Catarina,1084,Brazil,8
Universidade Tecnológica Federal do Paraná (UTFPR),1083,Brazil,8
Universidade Nove de Julho (Uninove),1082,Brazil,8
Universidade Federal do Vale do São Francisco,1081,Brazil,8
Universidade Federal do Triângulo Mineiro,1080,Brazil,8
Universidade Federal do Rio Grande do Sul,1079,Brazil,8
Universidade Federal do Paraná (UFPR),1078,Brazil,8
Universidade Federal do Maranhão (UFMA),1077,Brazil,8
Universidade Federal do Ceará (UFC),1076,Brazil,8
Universidade Federal do ABC (UFABC),1075,Brazil,8
Universidade Federal de São Paulo (UNIFESP),1074,Brazil,8
Universidade Federal de Sergipe,1073,Brazil,8
Universidade Federal de Santa Catarina,1072,Brazil,8
Universidade Federal de Ouro Preto (UFOP),1071,Brazil,8
Universidade Federal de Juiz de Fora,1070,Brazil,8
Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),1069,Brazil,8
Universidade Federal da Bahia,1068,Brazil,8
Universidade Federal Rural do Semi-Arido,1067,Brazil,8
Universidade Estadual do Oeste do Paraná (Unioeste),1066,Brazil,8
Universidade Estadual do Norte Fluminense Darcy Ribeiro,1065,Brazil,8
Universidade Estadual de Maringá,1064,Brazil,8
Universidade Estadual Paulista (Unesp),1063,Brazil,8
Universitas Airlangga,1086,Unknown Location,95
Universitas Andalas,1087,Indonesia,36
Universitas Gadjah Mada,1088,Indonesia,36
Universiti Malaysia Perlis,1101,Malaysia,51
Universiti Tenaga Nasional (UNITEN),1111,Malaysia,51
Universiti Teknologi Petronas,1110,Malaysia,51
Universiti Teknologi MARA,1109,Malaysia,51
Universiti Teknikal Malaysia Melaka,1108,Malaysia,51
Universiti Sains Malaysia,1107,Malaysia,51
Universiti Putra Malaysia,1106,Malaysia,51
Universiti Pendidikan Sultan Idris,1105,Malaysia,51
Universiti Malaysia Terengganu (UMT),1104,Malaysia,51
Universiti Malaysia Sarawak (UNIMAS),1103,Unknown Location,95
Universiti Malaysia Sabah (UMS),1102,Malaysia,51
Universiti Malaysia Pahang,1100,Malaysia,51
Universitas Padjadjaran,1089,Indonesia,36
Universiti Malaysia Kelantan,1099,Malaysia,51
Universiti Kuala Lumpur,1098,Malaysia,51
Universiti Kebangsaan Malaysia,1097,Malaysia,51
Universiti Brunei Darussalam,1096,Brunei Darussalam,9
Universitat Ramon Llull,1095,Spain,81
Universitat Politècnica de Catalunya,1094,Spain,81
Universitat Internacional de Catalunya,1093,Spain,81
Universitas Sumatera Utara,1092,Indonesia,36
Universitas Sebelas Maret,1091,Indonesia,36
Universitas Pendidikan Indonesia,1090,Indonesia,36
University of Brescia,1166,Italy,41
University of Brighton,1167,United Kingdom,93
University of Bristol,1168,Unknown Location,95
University of Dar es Salaam,1221,Tanzania,86
University of Ferrara,1245,Italy,41
University of Extremadura,1244,Spain,81
University of Exeter,1243,United Kingdom,93
University of Essex,1242,United Kingdom,93
University of Erlangen-Nuremberg,1241,Germany,29
"University of Engineering and Technology, Taxila",1240,Pakistan,66
"University of Engineering and Technology, Peshawar",1239,Pakistan,66
University of Engineering & Technology (UET) Lahore,1238,Pakistan,66
University of Electronic Science and Technology of China,1237,China,13
University of Edinburgh,1236,United Kingdom,93
University of Eastern Finland,1235,Finland,26
University of East London,1234,United Kingdom,93
University of East Anglia,1233,Unknown Location,95
University of Dundee,1232,United Kingdom,93
University of Duisburg-Essen,1231,Germany,29
University of Dhaka,1230,Bangladesh,5
University of Deusto,1229,Spain,81
University of Desarrollo,1228,Chile,12
University of Derby,1227,United Kingdom,93
University of Denver,1226,United States,94
University of Delhi,1225,India,35
University of Delaware,1224,United States,94
University of Debrecen,1223,Unknown Location,95
University of Florence,1246,Italy,41
University of Florida,1247,United States,94
University of Foggia,1248,Italy,41
University of Glasgow,1261,Unknown Location,95
University of Gujrat,1271,Pakistan,66
University of Guelph,1270,Canada,11
University of Guanajuato,1269,Mexico,54
University of Guadalajara,1268,Unknown Location,95
University of Groningen,1267,Unknown Location,95
University of Greifswald,1266,Germany,29
University of Greenwich,1265,United Kingdom,93
University of Graz,1264,Austria,3
University of Granada,1263,Spain,81
University of Gothenburg,1262,Sweden,83
University of Girona,1260,Spain,81
University of Fort Hare,1249,South Africa,79
University of Ghana,1259,Ghana,30
University of Georgia,1258,United States,94
University of Genoa,1257,Italy,41
University of Geneva,1256,Switzerland,84
University of Gdańsk,1255,Poland,69
University of Galway,1254,Ireland,39
University of Fukui,1253,Japan,43
University of Fribourg,1252,Switzerland,84
University of Freiburg,1251,Germany,29
University of Fortaleza (UNIFOR),1250,Brazil,8
University of Dayton,1222,United States,94
University of Côte d’Azur,1220,France,27
University of British Columbia,1169,Canada,11
University of Córdoba,1219,Spain,81
University of Canterbury,1192,Unknown Location,95
University of Canberra,1191,Australia,2
University of Campinas,1190,Brazil,8
University of Campania Luigi Vanvitelli,1189,Italy,41
University of Camerino (Unicam),1188,Italy,41
University of Cambridge,1187,United Kingdom,93
"University of California, Santa Cruz",1186,United States,94
"University of California, Santa Barbara",1185,United States,94
"University of California, San Diego",1184,United States,94
"University of California, Riverside",1183,United States,94
"University of California, Merced",1182,United States,94
"University of California, Los Angeles",1181,United States,94
"University of California, Irvine",1180,United States,94
"University of California, Davis",1179,United States,94
"University of California, Berkeley",1178,United States,94
University of Calgary,1177,Canada,11
University of Calcutta,1176,Unknown Location,95
University of Calabria,1175,Italy,41
University of Cadiz,1174,Spain,81
University of Bío-Bío,1173,Chile,12
University of Béjaïa,1172,Algeria,0
University of Burgos,1171,Spain,81
University of Bucharest,1170,Romania,73
University of Cape Coast,1193,Unknown Location,95
University of Cape Town,1194,Unknown Location,95
University of Carthage,1195,Tunisia,88
University of Colombo,1208,Sri Lanka,82
University of Cyprus,1218,Unknown Location,95
University of Crete,1217,Greece,31
University of Craiova,1216,Romania,73
University of Costa Rica,1215,Costa Rica,15
University of Copenhagen,1214,Denmark,20
University of Connecticut,1213,United States,94
University of Concepción,1212,Chile,12
University of Colorado Denver/Anschutz Medical Campus,1211,United States,94
University of Colorado Colorado Springs,1210,United States,94
University of Colorado Boulder,1209,United States,94
University of Cologne,1207,Germany,29
University of Castilla-La Mancha,1196,Spain,81
University of Colima,1206,Mexico,54
University of Coimbra,1205,Portugal,70
University of Clermont Auvergne,1204,France,27
University of Chile,1203,Chile,12
University of Chester,1202,United Kingdom,93
"University of Chemistry and Technology, Prague",1201,Czech Republic,19
University of Central Lancashire,1200,United Kingdom,93
University of Central Florida,1199,United States,94
University of Caxias do Sul,1198,Brazil,8
University of Catania,1197,Italy,41
Universidade Eduardo Mondlane,1062,Mozambique,57
Universidad de las Fuerzas Armadas – ESPE,1061,Ecuador,21
Universidad San Francisco de Quito,1060,Ecuador,21
South Valley University,902,Egypt,22
Sun Yat-sen University,926,China,13
Sumy State University,925,Ukraine,91
Sultan Qaboos University,924,Oman,65
Suez Canal University,923,Egypt,22
Stony Brook University,922,United States,94
Stockholm University,921,Sweden,83
Stevens Institute of Technology,920,United States,94
Stellenbosch University,919,Unknown Location,95
State University of Santa Cruz,918,Brazil,8
State University of Ponta Grossa,917,Brazil,8
State University of Malang,916,Indonesia,36
Stanford University,915,United States,94
Staffordshire University,914,United Kingdom,93
St Marianna University School of Medicine,913,Japan,43
"St George’s, University of London",912,United Kingdom,93
Srinakharinwirot University,911,Thailand,87
Sri Venkateswara University,910,India,35
Southwestern University of Finance and Economics,909,China,13
Southwest Jiaotong University,908,Unknown Location,95
Southern University of Science and Technology (SUSTech),907,Unknown Location,95
Southern Medical University,906,Unknown Location,95
Southern Illinois University Carbondale,905,United States,94
Southern Cross University,904,Australia,2
Sungkyunkwan University (SKKU),927,Unknown Location,95
Sunway University,928,Malaysia,51
Suranaree University of Technology,929,Thailand,87
Tallinn University,942,Estonia,23
Technical University of Darmstadt,952,Germany,29
Technical University of Crete,951,Greece,31
Technical University of Cluj-Napoca,950,Romania,73
Technical University of Cartagena,949,Spain,81
Technical University of Berlin,948,Germany,29
Taras Shevchenko National University of Kyiv,947,Ukraine,91
Tanta University,946,Egypt,22
Tampere University,945,Finland,26
Tamkang University,944,Taiwan,85
Tamil Nadu Agricultural University,943,India,35
Taipei Medical University,941,Unknown Location,95
Swansea University,930,United Kingdom,93
Taibah University,940,Saudi Arabia,74
TU Wien,939,Austria,3
TU Dresden,938,Germany,29
TU Dortmund University,937,Germany,29
TOBB University of Economics and Technology,936,Turkey,89
Süleyman Demirel University,935,Turkey,89
Syracuse University,934,United States,94
Symbiosis International University,933,Unknown Location,95
Swinburne University of Technology,932,Australia,2
Swedish University of Agricultural Sciences,931,Sweden,83
Southeast University,903,China,13
South China University of Technology,901,China,13
Technical University of Košice,954,Slovakia,77
South China Normal University,900,China,13
Shiga University of Medical Science,873,Japan,43
Shibaura Institute of Technology,872,Japan,43
Shenzhen University,871,China,13
