University Rank,University Rank_lbEncode
1201–1500,17
1501+,41
1001–1200,2
801–1000,145
601–800,123
401–500,100
501–600,112
251–300,82
351–400,94
201–250,76
301–350,88
139,33
156,45
95,157
114,13
151,42
198,73
101,3
170,53
82,147
176,57
148,39
161,48
166,50
168,51
99,159
183,63
187,66
189,67
192,70
71,135
196,72
54,116
26,83
3,86
194,71
163,49
131,27
108,7
104,4
119,16
124,21
137,32
86,149
91,154
11,8
128,24
51,113
90,153
52,114
5,110
53,115
9,152
89,151
50,111
73,136
93,155
94,156
49,109
48,108
47,107
46,106
45,105
44,104
43,103
42,102
98,158
41,101
88,150
85,148
56,117
57,118
75,138
70,134
76,139
7,133
69,132
77,140
68,131
67,130
78,141
39,98
79,142
8,143
66,129
65,128
64,127
63,126
80,144
62,125
61,124
60,122
6,121
81,146
59,120
58,119
74,137
40,99
1,0
38,97
160,47
155,44
154,43
15,40
147,38
146,37
145,36
144,35
14,34
136,31
135,30
134,29
133,28
130,26
13,25
127,23
126,22
123,20
122,19
121,18
118,15
117,14
113,12
112,11
111,10
110,9
107,6
106,5
16,46
17,52
37,96
173,54
36,95
35,93
34,92
33,91
32,90
31,89
30,87
29,85
28,84
25,81
10,1
23,79
22,78
21,77
20,75
2,74
191,69
19,68
186,65
185,64
182,62
181,61
180,60
18,59
179,58
175,56
174,55
24,80
